"色號","應用","1/3SD","Hue","Chroma","沖淡色耐光","本色耐光","耐溫","耐候","耐遷移",""
"PR247","PE","2.7","11.6","61","6","6~7","300","~","~",""
"PR247","PVC","9.4","12.9","62.9","6~7","6~7","~","~","5",""
"PR247","PS","2","11.1","58.5","6","6~7","300","~","~",""
"PR247","ABS","2.5","13.4","60.3","5~6","6","300","~","~",""
"PR247","PC","2.8","13.5","58.5","4~5","5","310","~","~",""
"PR144","PE","1.8","11.9","49.9","7~8","7~8","300","3~4","~",""
"PR144","PVC","5.9","13.2","57","7~8","8","~","3","5",""
"PR144","PS","1.9","14.7","52.1","8","8","300","~","~",""
"PR144","ABS","1.9","15.1","53.4","8","8","300","~","~",""
"PR144","PC","1.9","15.8","52.4","8","8","300","~","~",""
"PR214","PE","1.6","11.6","51.5","7~8","8","300","3","~",""
"PR214","PVC","5.7","15.7","56.9","7~8","7~8","~","3~4","5",""
"PR214","PS","1.5","13.2","53.4","6~7","6~7","300","~","~",""
"PR214","ABS","1.7","13.1","54.6","6","7","300","~","~",""
"PR214","PC","1.7","14.2","53.8","7","7~8","300","~","~",""
"PR48:3","PE","2.2","10.5","52.8","6","6~7","240","~","~",""
"PR48:3","PVC","7.5","12","58.5","5~6","6~7","~","~","5",""
"PR48:3","PS","2.3","10.6","53.6","4~5","3","250","~","~",""
"PR208","PE","1.3","13.3","53.6","6~7","7","250","~","~",""
"PR208","PVC","5.1","11.5","56.2","6~7","7","~","3","4~5",""
"PR170(5RK","PE","2.1","8.4","52.6","7~8","8","250","~","~",""
"PR262","PE","1.2","3.1","47.8","8","7~8","300","3","~",""
"PR262","PVC","4","5.4","54.8","7~8","7~8","~","~","4",""
"PR262","PS","1.2","4.5","51.1","6","5~6","300","~","~",""
"PR262","ABS","1.2","4.4","52.5","6","6","290","~","~",""
"PR262","PC","1.3","9.8","52.6","7","7~8","300","~","~",""
"PR48:2","PE","1","359.9","52","5~6","6~7","240","~","~",""
"PR48:2","PVC","5.2","2.1","56.3","5~6","7","~","~","5",""
"PR48:2","PS","1.3","358.1","49.6","5","5~6","240","~","~",""
"PR187","PE","2.5","3.1","47.3","8","8","260","~","~",""
"PR187","PVC","7.7","6.2","50.5","7","7","~","3","5",""
"PR187","PS","1.8","5.7","47.3","8","8","300","~","~",""
"PR187","ABS","1.8","4.6","51.5","7~8","8","290","~","~",""
"PR187","PC","2.7","7.3","50.2","8","8","300","~","~",""
"PR185","PE","2","359.8","54.2","5~6","6","250","~","~",""
"PR185","PVC","4.5","356.6","57","7","7~8","~","~","5",""
"PR185","PS","1.2","1.9","52.3","7","6~7","270","~","~",""
"PR176","PE","2.1","358.7","51","7","7","270","~","~",""
"PR176","PVC","5.4","358.4","52.8","6~7","7","~","~","5",""
"PR176","PS","1.3","358.3","49.8","7","7","300","~","~",""
"PR176","ABS","~","~","7","~","~","~","~","~",""
"PR176","PC","2","3.1","7","6~7","7","300","~","~",""
"PV19(E3B","PE","3","357.5","56.3","8","8","300","5","~",""
"PV19(E3B","PVC","13.1","359.1","56.8","8","8","~","5","5",""
"PV19(E3B","PS","2.3","348.3","53.8","8","8","300","~","~",""
"PV19(E3B","ABS","3.4","359.7","5437","8","8","300","~","~",""
"PV19(E3B","PC","3.2","350.6","43","7","8","300","~","~",""
"PV19(E5B","PE","2.7","354.8","58.1","8","8","300","4~5","~",""
"PV19(E5B","PVC","11.4","356.1","59.1","8","8","~","4~5","5",""
"PV19(E5B","PS","2.1","355","55","7~8","7~8","300","~","~",""
"PV19(E5B","ABS","3.1","357","56.8","7~8","7~8","300","~","~",""
"PV19(E5B","PC","3.8","358.7","49.1","6~7","7","290","~","~",""
"PR57:1","PE","0.9","351.5","47.1","4~5","6~7","260","~","~",""
"PR57:1","PVC","4.7","353.7","51.9","3~4","6~7","~","~","5",""
"PR57:1","PS","1.5","352","45.7","3~4","6","260","~","~",""
"PR122(E","PE","2.2","338.8","55.2","8","8","300","5","~",""
"PR122(E","PVC","7.7","339.7","57","8","8","~","5","5",""
"PR122(E","PS","2.2","340.1","51.8","8","8","300","~","~",""
"PR122(E","ABS","2.7","341.2","52.9","7~8","8","300","~","~",""
"PR122(E","PC","2.3","341.1","50.6","8","8","310","~","~",""
"PR122(E 01","PE","2.3","338.1","54.7","8","8","300","5","~",""
"PR122(E 01","PVC","8.1","339.4","56.3","8","8","~","5","5",""
"PR122(E 01","PS","2","336.1","50.5","8","8","300","~","~",""
"PR122(E 01","ABS","2","337","53.1","7~8","8","300","~","~",""
"PR122(E 01","PC","3","336","47.4","8","8","310","~","~",""
"PV32","PE","1.1","342.1","43.5","6~7","7","250","~","~",""
"PV32","PVC","3.6","336..5","48","7","7~8","~","~","5",""
"PV19(ER","PE","1.9","330.9","37.7","8","8","300","3","~",""
"PV19(ER","PVC","7.5","331","41.9","8","8","~","4","5",""
"PV19(ER","PS","1.8","333.1","39.6","8","8","300","~","~",""
"PV19(ER","ABS","2.2","334.6","39.8","8","8","270","~","~",""
"PV19(ER","PC","2.2","339.9","37.6","8","8","320","~","~",""
"PV23(BLP","PE","0.6","301.1","51.1","7~8","7~8","270","4~5","~",""
"PV23(BLP","PVC","2.9","302.9","51.3","7~8","7~8","~","5","4",""
"PV23(BLP","PS","0.7","301.5","49.6","6~7","7~8","260","~","~",""
"PV23(RL","PE","0.7","300.7","50.3","7~8","7~8","280","4~5","~",""
"PV23(RL","PVC","2.5","302.7","52.2","7~8","7~8","~","5","4",""
"PV23(RL","PS","0.6","299.8","49.4","6~7","7~8","270","~","~",""
"PB15(AN","PVC","3.4","251.3","47.9","8","8","~","5","4",""
"PB15:1(A4R","PE","0.9","248","46.9","8","8","300","5","~",""
"PB15:1(A4R","PVC","3.6","250","47.3","8","8","~","5","4",""
"PB15:1(A4R","PS","1.2","248.1","43.7","8","8","300","~","~",""
"PB15:1(A4R","ABS","1.1","249","46.8","6~7","6~7","280","~","~",""
"PB15:1(A2R","PE","0.8","248.2","46.8","8","8","300","5","~",""
"PB15:1(A2R","PVC","3.3","249.3","47.3","8","8","~","5","5",""
"PB15:1(A2R","PS","0.8","248","46.2","8","8","300","~","~",""
"PB15:1(A2R","ABS","0.8","246.5","46.8","8","8","300","~","~",""
"PB15:3(BG","PE","1","242.7","46.2","8","8","300","5","~",""
"PB15:3(BG","PVC","4","240.7","48.2","8","8","~","5","4~5",""
"PB15:3(BG","PS","1.1","242.7","46.6","8","8","300","~","~",""
"PB15:3(BG","ABS","1.2","241.8","46.7","8","8","300","~","~",""
"PB15:3(BG","PC","1","239.5","45.6","8","8","320","~","~",""
"PG7","PE","2.2","177","57.6","8","8","300","5","~",""
"PG7","PVC","8.9","180.4","57.1","8","8","~","5","5",""
"PG7","PS","2","177","55.2","8","8","300","~","~",""
"PG7","ABS","2.2","179.4","55.6","8","8","290","~","~",""
"PG7","PC","2.2","178","53","8","8","340","~","~",""
"PBr25","PE","2.2","25.7","35.9","8","8","290","5","~",""
"PBr25","PVC","7.5","25.9","37.6","8","8","~","5","4~5",""
"PBr41","PE","2","38.5","35.9","8","8","300","4~5","~",""
"PBr41","PVC","6.9","44.1","40.1","8","8","~","5","4",""
"PBr41","PS","1.9","38.6","36.8","8","8","300","~","~",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
